movie_odid,display_name,billing,person_odid,person,role
181330100,Penguins of Madagascar,143,946030401,Caroline Robinson,Production Supervisor
181330100,Penguins of Madagascar,144,946040401,Manoj Pahariya,Production Designer
181330100,Penguins of Madagascar,145,946050401,Uma Havaligi,Character Effects Supervisor
181330100,Penguins of Madagascar,146,946070401,Brijesh Johar,Effects Lead
181330100,Penguins of Madagascar,147,946080401,Mitul Patel,Effects Lead
181330100,Penguins of Madagascar,148,946090401,Dhruva Pathak,Effects Lead
181330100,Penguins of Madagascar,149,946100401,Venu Victor,Effects Lead
181330100,Penguins of Madagascar,150,946110401,Fangwei Lee,Effects Lead
181330100,Penguins of Madagascar,151,437160401,Yancy Lindquist,Effects Lead
181330100,Penguins of Madagascar,152,946270401,Arun P.A.,Lighting
181330100,Penguins of Madagascar,153,946260401,Mayank Namrata Kanyal,Lighting
181330100,Penguins of Madagascar,154,946250401,Praveen Ushus Dev,Lighting
181330100,Penguins of Madagascar,155,946240401,Vijay Bundela,Lighting
181330100,Penguins of Madagascar,156,946120401,Kiran Kumar Goonda,Lighting
181330100,Penguins of Madagascar,157,946130401,Harshal Raja Kadam,Lighting
181330100,Penguins of Madagascar,158,946140401,Soumya Khurana,Lighting
181330100,Penguins of Madagascar,159,946150401,Harshal Nachnolkar,Lighting
181330100,Penguins of Madagascar,160,946160401,Raghuram Palasamudram,Lighting
